物料编码,物料名称,计量单位,单价
M-100200,低压电缆 YJV-4×0,米,12.5
M-100201,低压电缆 YJV-4×1,米,13.5
M-100202,低压电缆 YJV-4×2,米,14.5
M-100203,低压电缆 YJV-4×3,米,15.5
M-100204,低压电缆 YJV-4×4,米,16.5
M-100205,低压电缆 YJV-4×5,米,17.5
M-100206,低压电缆 YJV-4×6,米,18.5
M-100207,低压电缆 YJV-4×7,米,19.5
M-100208,低压电缆 YJV-4×8,米,20.5
M-100209,低压电缆 YJV-4×9,米,21.5
M-100210,低压电缆 YJV-4×10,米,22.5
M-100211,低压电缆 YJV-4×11,米,23.5
M-100212,低压电缆 YJV-4×12,米,24.5
M-100213,低压电缆 YJV-4×13,米,25.5
M-100214,低压电缆 YJV-4×14,米,26.5
M-100215,低压电缆 YJV-4×15,米,27.5
M-100216,低压电缆 YJV-4×16,米,28.5
M-100217,低压电缆 YJV-4×17,米,29.5
M-100218,低压电缆 YJV-4×18,米,30.5
M-100219,低压电缆 YJV-4×19,米,31.5
M-100220,低压电缆 YJV-4×20,米,32.5
M-100221,低压电缆 YJV-4×21,米,33.5
M-100222,低压电缆 YJV-4×22,米,34.5
M-100223,低压电缆 YJV-4×23,米,35.5
M-100224,低压电缆 YJV-4×24,米,36.5
M-100225,低压电缆 YJV-4×25,米,37.5
M-100226,低压电缆 YJV-4×26,米,38.5
M-100227,低压电缆 YJV-4×27,米,39.5
M-100228,低压电缆 YJV-4×28,米,40.5
M-100229,低压电缆 YJV-4×29,米,41.5
